,uuid,municipio,estrato_vivienda,nivel_educativo,cilin_grupo,modelo_grupo,dias_semana,herramienta_trabajo,transporte_cotidiano,trabajo_domicilios,trabajo_transporte_pasajeros,frecuencia_revisionpre,costo_casco,costo_mantenimiento,gasto_anual,licencia_moto,licencia_curso,experiencia,riesgo_velocidad,riesgo_sinlucesdia,riesgo_sinlucesnoche,riesgo_sinreflectivos,motivo_dinero,motivo_tiempo,motivo_independencia,epp_casco,epp_guantes,epp_botas,epp_rodilleras,epp_reflectivos,epp_chaquetaprot,epp_chaquetairbag,edad,sexo,clase_moto,tipo_freno,sector
163,1_10_1144,MEDELLÍN,3,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,305000,127000.0,1030000.0,1,0,>20,1,1,1,1,1,1,0,1,0,0,0,0,0,0,42,hombre,moto_scooter,frenos_mixto,sector_comercio
164,1_10_1145,MEDELLÍN,2,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Entre 25% y 50%,397000,153000.0,1230000.0,1,1,6-10,1,0,1,1,1,1,1,1,0,0,0,1,1,0,29,hombre,moto_street,frenos_mixto,sector_comercio
167,1_10_1148,MEDELLÍN,2,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Menos del 25%,23000,56000.0,900000.0,1,1,6-10,1,1,1,1,1,1,0,1,1,0,0,1,1,0,29,hombre,moto_street,frenos_mixto,sector_servicio
172,1_10_1152,MEDELLÍN,4,Técnica / Tecnológica,>200,2011-2020,6,0,1,0,0,Entre 50% y 75%,833000,127000.0,2140000.0,1,1,6-10,1,0,1,1,1,1,1,1,0,1,0,1,0,0,28,hombre,moto_street,frenos_disco,sector_servicio
174,1_10_1154,MEDELLÍN,2,Técnica / Tecnológica,100-125,2011-2020,5,0,1,0,0,Mayor a 75%,459000,65000.0,1070000.0,1,1,6-10,1,1,1,1,1,1,0,1,1,0,0,0,1,0,28,mujer,moto_scooter,frenos_mixto,sector_servicio
176,1_10_1156,MEDELLÍN,2,Secundaria,100-125,2011-2020,6,0,1,0,0,Mayor a 75%,169000,321000.0,910000.0,1,0,3-5,1,1,1,1,0,0,0,1,1,0,0,0,0,0,24,hombre,moto_street,frenos_mixto,sector_servicio
177,1_10_1157,MEDELLÍN,3,Técnica / Tecnológica,100-125,2001-2010,7,0,1,0,0,Menos del 25%,190000,109000.0,970000.0,1,0,11-20,1,1,1,1,1,1,0,1,0,0,0,0,0,0,56,hombre,moto_street,frenos_tambor,sector_servicio
178,1_10_1158,MEDELLÍN,2,Técnica / Tecnológica,>200,2011-2020,7,0,1,0,0,Mayor a 75%,334000,67000.0,1220000.0,1,0,>20,1,1,1,1,0,0,0,1,1,0,0,0,1,0,47,hombre,moto_deportiva,frenos_disco,sector_servicio
179,1_10_1159,MEDELLÍN,2,Técnica / Tecnológica,126-200,2011-2020,7,0,1,0,0,Mayor a 75%,517000,65000.0,1050000.0,1,1,11-20,1,0,1,1,1,1,1,1,1,0,0,0,1,0,32,hombre,moto_street,frenos_disco,sector_comercio
181,1_10_1160,MEDELLÍN,3,Técnica / Tecnológica,100-125,2011-2020,5,0,1,0,0,Mayor a 75%,204000,82000.0,1020000.0,1,0,6-10,1,1,1,1,0,1,0,1,1,0,0,0,0,0,33,hombre,moto_street,frenos_tambor,sector_transporte
184,1_10_1164,MEDELLÍN,3,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,108000,52000.0,1050000.0,1,1,>20,1,1,1,1,1,1,0,1,0,0,0,1,0,0,44,hombre,moto_street,frenos_tambor,sector_comercio
